file;model;wer_global;mer_global;cer_global;wer_agente;mer_agente;cer_agente;wer_cliente;mer_cliente;cer_cliente
9154631773260006851.txt;batch;0.565;0.554;0.526;0.546;0.538;0.483;0.67;0.65;0.636
9154631828190006851.txt;batch;0.423;0.414;0.345;0.443;0.431;0.355;0.535;0.525;0.439
9154631855480006851.txt;batch;0.42;0.406;0.344;0.464;0.455;0.404;0.379;0.367;0.273
9154631874120006851.txt;batch;0.319;0.296;0.32;0.394;0.346;0.369;0.341;0.337;0.365
9154631875400006851.txt;batch;0.325;0.317;0.258;0.346;0.332;0.299;0.554;0.495;0.504
9154631900520006851.txt;batch;0.477;0.429;0.386;0.46;0.448;0.377;0.744;0.492;0.611
9154631921750006851.txt;batch;0.315;0.31;0.27;0.514;0.498;0.456;0.251;0.24;0.206
9154631970620006851.txt;batch;0.5;0.48;0.342;0.402;0.387;0.331;1.455;0.8;0.831
9154632036920006851.txt;batch;0.266;0.256;0.229;0.362;0.336;0.312;0.389;0.355;0.351
9154632076340006851.txt;batch;0.345;0.336;0.245;0.35;0.322;0.268;0.618;0.618;0.472
9154631773260006851.txt;realtime;0.071;0.071;0.058;0.052;0.052;0.034;0.079;0.077;0.069
9154631828190006851.txt;realtime;0.062;0.061;0.048;0.066;0.065;0.054;0.06;0.06;0.043
9154631855480006851.txt;realtime;0.051;0.05;0.042;0.028;0.028;0.024;0.084;0.081;0.069
9154631874120006851.txt;realtime;0.059;0.059;0.032;0.079;0.078;0.037;0.011;0.011;0.019
9154631875400006851.txt;realtime;0.039;0.038;0.019;0.051;0.051;0.026;0.021;0.021;0.006
9154631900520006851.txt;realtime;0.18;0.178;0.148;0.081;0.08;0.059;0.624;0.624;0.576
9154631921750006851.txt;realtime;0.06;0.058;0.048;0.057;0.057;0.049;0.051;0.05;0.035
9154631970620006851.txt;realtime;0.093;0.088;0.059;0.009;0.009;0.01;0.909;0.588;0.542
9154632036920006851.txt;realtime;0.021;0.021;0.015;0.013;0.013;0.006;0.03;0.03;0.027
9154632076340006851.txt;realtime;0.055;0.055;0.03;0.028;0.028;0.009;0.132;0.128;0.09
