file;sim_realtime_full;sim_batch_full;sim_realtime_agent;sim_batch_agent;sim_realtime_client;sim_batch_client
9154631773260006851.txt;0.9542;0.9236;0.9635;0.8259;0.9772;0.8589
9154631828190006851.txt;0.9774;0.8745;0.9666;0.924;0.9927;0.9539
9154631855480006851.txt;0.9907;0.9805;0.9864;0.9647;0.9874;0.9826
9154631874120006851.txt;0.9161;0.8522;0.8934;0.9012;0.9983;0.8651
9154631875400006851.txt;0.9657;0.7804;0.9771;0.9024;0.9926;0.9339
9154631900520006851.txt;0.869;0.9294;0.9387;0.916;0.8825;0.8641
9154631921750006851.txt;0.9707;0.9427;0.9809;0.9332;0.9903;0.9712
9154631970620006851.txt;0.9759;0.8501;0.9956;0.8448;0.7477;0.6174
9154632036920006851.txt;0.9822;0.9511;0.9936;0.976;0.9771;0.9683
9154632076340006851.txt;0.9643;0.9346;0.9887;0.9589;0.9767;0.9132
